City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,sinabang,2.4803,96.3801,79.21,85,100,3.62,ID,1690317921
159,nagqu,31.5,92.0,42.08,94,100,2.86,CN,1690317921
160,bamboo flat,11.7,92.7167,77.09,94,75,1.14,IN,1690317921
161,kitimat,54.0524,-128.6534,58.91,63,100,8.01,CA,1690317630
162,khuldabad,20.05,75.1833,69.78,92,100,14.52,IN,1690317921
163,recani,31.2846,-4.2688,100.31,11,40,9.08,MA,1690317922
164,leh,34.1667,77.5833,64.69,50,41,4.68,IN,1690317922
165,ixtapa,20.7,-105.2,87.03,62,75,0.0,MX,1690317922
166,xilin hot,43.9667,116.0333,69.67,53,95,6.71,CN,1690317922
167,kapa'a,22.0752,-159.319,84.52,79,75,16.11,US,1690317893
168,giado,31.9582,12.0203,91.89,10,0,11.32,LY,1690317923
169,cidreira,-30.1811,-50.2056,63.05,95,86,4.83,BR,1690317895
170,lamu,-2.2717,40.902,77.22,82,17,16.04,KE,1690317923
171,trairi,-3.2778,-39.2689,78.8,74,9,13.6,BR,1690317648
172,happy valley-goose bay,53.3168,-60.3315,70.11,73,75,12.66,CA,1690317882
173,badger,64.8,-147.5333,78.39,62,75,8.05,US,1690317822
174,saint-francois,46.4154,3.9054,58.44,88,0,5.75,FR,1690317845
175,arvika,59.6553,12.5852,56.01,87,100,4.63,SE,1690317923
176,rongelap,11.1635,166.8941,83.59,75,100,17.34,MH,1690317924
177,inari,68.906,27.0288,52.0,95,100,4.52,FI,1690317924
178,zarah sharan,33.1467,68.7917,70.11,64,8,1.88,AF,1690317924
179,axim,4.8699,-2.2405,76.23,91,96,7.61,GH,1690317924
180,sterling,39.0062,-77.4286,91.71,50,75,8.05,US,1690317647
181,st. john's,47.5649,-52.7093,79.99,61,75,9.22,CA,1690317786
182,puerto deseado,-47.7503,-65.8938,35.98,97,100,22.01,AR,1690317692
183,takoradi,4.8845,-1.7554,76.37,91,94,7.92,GH,1690317885
184,klyuchi,52.2667,79.1667,64.08,58,0,5.23,RU,1690317925
185,praia da vitoria,38.7333,-27.0667,75.45,78,40,8.7,PT,1690317925
186,stawell,-37.05,142.7667,39.09,92,57,2.98,AU,1690317925
